"","Region","RptArea","year","GuiBRF","var_GuiBRF","GuiBRF_UPRLWR95","PRIV_rfharv","var_PRIV_rfharv","PrivBRF_UPRLWR95","TotalBRFharv","var_totalBRFharv","TotalBRF_UPRLWR95"
"1","SC","AFOGNAK",1998,264.556700919,177.592740556,26.1197295567915,113.501596084661,3943.57521179245,102.830792465407,359.141364285051,2930.13644085366,106.09624004263
"2","SC","AFOGNAK",1999,367.123809444,183.124870124,26.5234330558538,138.057229852978,5834.51150452161,106.964879430674,465.559233377792,3161.43740438539,110.204255510787
"3","SC","AFOGNAK",2000,1116.000000144,1193.346623808,67.7079049300804,385.25060978736,45433.1512172934,311.278430527228,1402.46840245163,26415.7178523311,318.557093315335
"4","SC","AFOGNAK",2001,453.540983544,177.32700144,26.1001802432838,145.969600733879,6522.45408997836,130.201783476739,573.268858288488,4590.20299595364,132.792032250642
"5","SC","AFOGNAK",2002,255.263157762,162.898214589,25.0157906364181,94.129929445212,2712.3245630524,62.3808919011613,312.534982309637,1175.85523103641,67.209861296907
"6","SC","AFOGNAK",2003,415.608695568,312.351796768,34.6400153357926,154.700492740392,7326.0450447482,123.178097521849,528.945420218324,4261.96750613447,127.956142375293
"7","SC","AFOGNAK",2004,262.166666788,128.264366412,22.1977564183487,127.689295595244,4991.08737742482,108.254301011363,361.721032851802,3178.81457660012,110.506715078619
"8","SC","AFOGNAK",2005,1099.739495511,738.694198179,53.270701438262,377.883919656866,43712.2351183465,337.256461206862,1410.29926838859,30346.6493798156,341.43767843854
"9","SC","AFOGNAK",2006,663.410714614,613.14241732,48.5329569506795,252.37734706325,19497.8593090671,219.028196910511,864.827251193141,13100.999310768,224.340809823461
"10","SC","AFOGNAK",2007,1354.63291236,14403.691568448,235.230145877075,678.826853506341,141060.110229208,659.243191479204,1961.5839813375,127534.050146042,699.953432051759
"11","SC","AFOGNAK",2008,1710.590552126,4865.808325109,136.72047857486,728.48380179338,162452.346797263,551.421160637955,2215.67265445992,84016.4998076447,568.117756861241
"12","SC","AFOGNAK",2009,2359.972221866,28121.153354532,328.679513701067,1026.69833189082,322679.892423215,630.43521857549,2933.71540691164,131580.275808803,710.970314111001
"13","SC","AFOGNAK",2010,1055.181817485,9860.763710547,194.630701253521,827.252017617052,209489.307321405,679.65756368102,1674.01958928371,130106.079169944,706.976317665066
"14","SC","AFOGNAK",2011,2211.847827165,5701.59586035,147.997468414566,852.740819584886,200039.386792782,634.319227192288,2824.37996504456,110439.434777942,651.355611507986
"15","SC","AFOGNAK",2012,1858.657342055,7884.142833481,174.03368383477,1110.75418994413,261396.564199334,749.773195489038,2686.27811079341,154218.96287561,769.706156778639
"16","SC","AFOGNAK",2013,1087.203540126,2234.181150172,92.6435659206874,731.128956927867,125971.007753653,467.491247803579,1576.11799566279,59124.0360993981,476.582518646507
"17","SC","AFOGNAK",2014,1844.198052095,2515.810119433,98.3093899625759,1234.160730187,268862.961985166,794.658118084579,2804.1008425147,166895.632234626,800.716092502541
"18","SC","AFOGNAK",2015,2299.106795414,22312.456800062,292.772153804145,1736.49589725294,1075446.44057946,1488.30020216004,3569.49063539613,598904.890095987,1516.82333374482
"19","SC","AFOGNAK",2016,2467.99065618,15880.057765146,246.991558379198,467.586544220403,63684.1140884378,413.01082577502,2858.1331790139,60282.8956991744,481.230477129149
"20","SC","AFOGNAK",2017,2629.008366754,17541.363471223,259.589872512489,537.74758244483,89663.7846843908,418.51536348169,3011.94982691468,63135.6755990371,492.485544337355
"21","SC","AFOGNAK",2018,2822.072286764,78120.724824912,547.821664857627,1496.40161725067,412259.260321395,957.674193690323,3958.13639020998,316859.755765252,1103.28982490903
"22","SC","AFOGNAK",2019,4567.115206736,25264.69406468,311.539481797853,4435.37642585551,3560251.27696312,2919.80381531815,8059.97414209722,2244458.34253053,2936.37721838753
"23","SC","AFOGNAK",2020,3719.189187972,65458.282706352,501.462400230288,1752.41998205205,564645.391568006,1072.14152302188,4984.82584128683,364679.296187109,1183.61817501777
"24","SC","AFOGNAK",2021,1486.875,100843.3575682,622.414526207412,1406.68271488962,336808.639803129,1021.80070436694,2748.75214196001,372625.083787684,1196.44327984187
"25","SC","AFOGNAK",2022,NA,NA,NA,3529.40526896988,2030529.17798386,NA,NA,NA,NA
"26","SC","EASTSIDE",1998,70.6730769,15.340674375,7.67676589971324,22.1083155336663,350.741043579169,30.60272358814,89.0966731706858,259.126256166988,31.5509021375158
"27","SC","EASTSIDE",1999,94.2307692,27.27231,10.2356878662843,16.687051745013,206.217044614773,20.0746735876913,106.128711918934,132.174569384723,22.5335710829054
"28","SC","EASTSIDE",2000,358.07692296,393.8121564,38.8956138918804,58.3357263482687,2520.19736192041,73.1883417871546,401.454770781363,1788.16174343492,82.8818566007036
"29","SC","EASTSIDE",2001,217.673076852,145.527773391,23.6444389711168,41.0970365290404,1250.79560344036,56.8815574128815,251.381882090765,987.75798312521,61.6000898373842
"30","SC","EASTSIDE",2002,253.480769148,197.345162391,27.5340003603048,43.9931364186708,1433.29367372747,45.1786706519111,280.247677453576,728.663436514764,52.9077825817253
"31","SC","EASTSIDE",2003,908.384615088,2534.404859376,98.6720310309808,139.564432776473,14424.9674844582,172.520879601832,1010.63235462888,10282.076115777,198.745122220317
"32","SC","EASTSIDE",2004,633.230769024,1231.573883904,68.7838224614306,100.673948544294,7505.84407316527,132.447975954836,711.72232213145,5798.02180522138,149.243695233462
"33","SC","EASTSIDE",2005,1012.038461208,3145.795504956,109.931287683894,171.283622043853,21726.8621821695,237.485263405853,1152.80603556759,17826.9831181763,261.694742680831
"34","SC","EASTSIDE",2006,1277.769230352,5014.657820016,138.795927466815,209.070830127602,32370.7096570023,281.555304535832,1444.62383514929,25650.1715414512,313.907150274789
"35","SC","EASTSIDE",2007,3119.03846052,29879.8155591,338.801268374011,480.063034085871,170671.837576007,724.167257416337,3548.27129096854,166390.180176421,799.502668016648
"36","SC","EASTSIDE",2008,1976.961537816,12004.190878524,214.744731434645,318.708897377894,75223.5298635378,373.103401703124,2197.93303989177,48240.6934718296,430.489776930162
"37","SC","EASTSIDE",2009,2247,0,0,316.640254599587,74250.1927371049,299.070822901231,2423.9460244988,23282.8397310547,299.070822901231
"38","SC","EASTSIDE",2010,1567.057691796,7542.345509439,170.219489216308,352.358819905028,91946.5898962746,445.475943155285,1830.64477570758,59200.2005516326,476.889390151586
"39","SC","EASTSIDE",2011,1746.096153276,9364.244906679,189.667296162248,51.4612042209808,1649.96208496157,57.2848360539263,1783.06124362394,10218.4599321177,198.129340773201
"40","SC","EASTSIDE",2012,3024.80769132,28101.6609471,328.565580507727,276.3989021043,25117.984568883,231.983633618118,3230.75197125967,42110.5130573315,402.208586384036
"41","SC","EASTSIDE",2013,1960.942307052,11810.440206591,213.004664497377,351.779886148008,93936.2648939072,401.903936947041,2196.18161726553,53857.1849310629,454.860156126222
"42","SC","EASTSIDE",2014,3189.71153742,31249.226424975,346.478034273724,250.879498184219,23714.5514360069,235.200638173001,3384.84003606348,45649.3045687137,418.767678350623
"43","SC","EASTSIDE",2015,2482.98076842,18935.778459975,269.710375276592,932.19872110182,360398.183163205,861.40031449275,3164.95772719842,212087.200213465,902.63735150948
"44","SC","EASTSIDE",2016,3065.846154368,19606.617931776,274.446321612644,418.190684713376,86017.5798102307,479.789253291608,3414.77400692572,79528.9751720194,552.737289334481
"45","SC","EASTSIDE",2017,3578.769230471,9200.85468348,188.005327988482,1353.80317164179,628325.573566688,1107.67723729237,4542.84118587,328585.710476808,1123.51896529062
"46","SC","EASTSIDE",2018,3477.11538348,37134.2500191,377.696882265891,302.279627163782,37596.4489918866,288.745013568428,3706.60526752246,58837.1037416718,475.424670935372
